Batch,RMSE
1,2.691908359527588
2,2.2009894847869873
3,2.205808401107788
4,0.8873124122619629
5,1.6971882581710815
6,2.1365349292755127
7,2.243572950363159
8,1.5452855825424194
9,0.2177465260028839
10,1.270097017288208
11,2.20076060295105
12,2.0487289428710938
13,1.4161783456802368
14,1.9256049394607544
15,2.59991717338562
16,2.420398473739624
17,2.2569234371185303
18,1.5179227590560913
19,0.15224461257457733
20,1.2952781915664673
21,2.170104742050171
22,1.9447358846664429
23,1.1225229501724243
24,0.7977795004844666
25,2.0049386024475098
26,2.6103806495666504
27,2.3472321033477783
28,1.6239491701126099
29,0.2521343529224396
30,1.1919002532958984
31,2.137061834335327
32,1.9240342378616333
33,1.0870198011398315
34,1.3248122930526733
35,2.50547194480896
36,3.345027446746826
37,2.9723870754241943
38,1.6017308235168457
39,0.15869572758674622
40,1.6499630212783813
41,2.552382469177246
42,2.275188684463501
43,1.3800387382507324
44,1.296417236328125
45,2.817800760269165
46,4.149112701416016
47,3.271092414855957
48,2.17301344871521
49,0.2913803160190582
50,2.0554020404815674
51,3.326523542404175
52,2.7767505645751953
53,1.3750145435333252
54,0.950137197971344
55,2.672422409057617
56,3.6477391719818115
57,3.870789051055908
58,1.8380985260009766
59,0.20123229920864105
60,2.9760587215423584
61,3.6647870540618896
62,3.250103712081909
63,1.2063487768173218
64,1.193150281906128
65,1.8777931928634644
66,2.8048224449157715
67,3.152770519256592
68,2.218775987625122
69,0.21178069710731506
70,2.643569231033325
71,4.129434108734131
72,3.6563408374786377
73,1.8318061828613281
74,0.8384791612625122
75,1.7869458198547363
76,2.885213613510132
77,3.200850248336792
78,2.3686745166778564
79,0.1683039516210556
80,3.509087085723877
81,5.11805534362793
82,3.4413905143737793
83,1.606702446937561
84,1.0554430484771729
85,2.0400173664093018
86,4.36322021484375
87,4.636581897735596
88,2.688377618789673
89,0.22321520745754242
90,3.817964553833008
91,5.544393062591553
92,4.413103103637695
93,1.3623608350753784
94,0.8334269523620605
95,1.0293800830841064
96,3.7656240463256836
97,5.5117716789245605
98,4.097999572753906
99,0.3291439116001129
100,5.53855562210083
101,8.446462631225586
102,7.10701847076416
103,0.6518927812576294
104,1.1703745126724243
105,1.5188424587249756
106,4.848446846008301
107,5.412692070007324
108,4.837191104888916
109,0.5306816697120667
110,3.055011749267578
111,1.8850855827331543
112,3.323472499847412
113,2.557429552078247
114,0.658696711063385
115,1.5575971603393555
116,6.009549140930176
117,5.759796142578125
118,1.1628000736236572
119,0.19391077756881714
120,0.4704510271549225
121,0.5540217161178589
122,1.0782079696655273
123,0.8441355228424072
124,0.9389764666557312
125,1.030681848526001
126,0.7988184690475464
127,0.5189229846000671
128,0.8619034886360168
129,0.22215500473976135
130,0.514642596244812
131,0.7142655849456787
132,0.9122114777565002
133,0.7571426630020142
134,0.5932961702346802
135,0.6876041293144226
136,0.5769653916358948
137,0.6882839202880859
138,0.6487879157066345
139,0.09208995848894119
140,0.5133683085441589
141,0.7010388374328613
