Batch,Average Reward
985,-8.499759674072266
988,-7.683062553405762
991,-6.2529730796813965
994,-8.031864166259766
997,-7.753726482391357
1000,-11.306144714355469
1003,-9.16210651397705
1006,-6.610157489776611
1009,-13.807161331176758
1012,-6.607993125915527
1015,-6.791782379150391
1018,-8.172491073608398
1021,-7.586831092834473
1024,-6.884209156036377
1027,-7.18374490737915
1030,-6.999022483825684
1033,-6.4955644607543945
1036,-9.337422370910645
1039,-6.6017045974731445
1042,-9.640924453735352
1045,-6.508494853973389
1048,-9.838859558105469
1051,-5.369255542755127
1054,-9.598864555358887
1057,-8.479484558105469
1060,-7.84237813949585
1063,-7.729366779327393
1066,-7.062040328979492
1069,-6.301273345947266
1072,-6.3998823165893555
1075,-7.269420623779297
1078,-6.955150604248047
1081,-6.872696876525879
1084,-4.661107063293457
1087,-8.081549644470215
1090,-6.987776756286621
1093,-5.428875923156738
1096,-7.420724868774414
1099,-5.041515827178955
1102,-5.581368446350098
1105,-6.620263576507568
1108,-8.565600395202637
1111,-5.600756645202637
1114,-6.338633060455322
1117,-5.850715637207031
1120,-6.297236442565918
1123,-6.48714542388916
1126,-7.775601863861084
1129,-6.381176948547363
1132,-5.869476795196533
1135,-5.562664031982422
1138,-5.489935874938965
1141,-7.90599250793457
1144,-7.4093146324157715
1147,-5.7264018058776855
1150,-6.263838291168213
1153,-6.985207557678223
1156,-6.376252174377441
1159,-7.227259159088135
1162,-7.653719902038574
1165,-5.234774112701416
1168,-6.5635199546813965
1171,-4.741057395935059
1174,-5.8021626472473145
1177,-4.903810501098633
1180,-6.632904529571533
1183,-7.21824836730957
1186,-6.706413745880127
1189,-5.004411220550537
1192,-8.65941333770752
1195,-5.4403510093688965
1198,-8.010051727294922
1201,-8.574409484863281
1204,-6.513154983520508
1207,-7.8202128410339355
1210,-5.872276782989502
1213,-5.348751068115234
1216,-5.071645736694336
1219,-5.4928364753723145
1222,-5.693159103393555
1225,-6.583948612213135
1228,-5.649258136749268
1231,-5.347500324249268
1234,-6.4980363845825195
1237,-6.624699115753174
1240,-4.350569725036621
1243,-7.090842247009277
1246,-6.757786273956299
1249,-5.681151390075684
1252,-5.937765598297119
1255,-5.807427883148193
1258,-8.190013885498047
1261,-6.0483503341674805
1264,-5.426644325256348
1267,-5.857118606567383
1270,-6.1941657066345215
1273,-7.350483417510986
1276,-4.763192176818848
1279,-6.180399417877197
1282,-7.259315490722656
1285,-6.737674236297607
1288,-8.3294095993042
1291,-5.884305477142334
1294,-6.360929012298584
1297,-7.938382148742676
1300,-8.330400466918945
1303,-5.515136241912842
1306,-5.327221870422363
1309,-6.005611896514893
1312,-7.332620620727539
1315,-5.751654148101807
1318,-4.733699321746826
1321,-8.07565689086914
1324,-4.255720138549805
1327,-4.4684553146362305
1330,-7.449800968170166
1333,-6.078500747680664
1336,-5.691206932067871
1339,-6.784964561462402
1342,-5.551621913909912
1345,-7.075355529785156
1348,-6.292853832244873
1351,-7.643552780151367
1354,-9.107211112976074
1357,-7.924776077270508
1360,-5.396152019500732
1363,-5.945086479187012
1366,-8.4635591506958
1369,-8.257585525512695
1372,-6.259026527404785
1375,-5.907007217407227
1378,-5.169204235076904
1381,-4.961119651794434
1384,-6.295007228851318
1387,-5.753225803375244
1390,-5.633030891418457
1393,-5.574612617492676
1396,-4.966729640960693
1399,-4.047815799713135
1402,-6.351999282836914
1405,-4.500763416290283
1408,-9.3703031539917
1411,-6.976945877075195
1414,-6.622385025024414
1417,-5.6435675621032715
1420,-5.804486274719238
1423,-8.768732070922852
1426,-4.915557384490967
1429,-4.755098819732666
1432,-5.372601509094238
1435,-4.862936496734619
1438,-5.990212440490723
1441,-4.68256950378418
1444,-6.871042251586914
1447,-6.40648078918457
1450,-6.212242603302002
1453,-5.758853435516357
1456,-7.180034637451172
1459,-7.888505935668945
1462,-6.261895179748535
1465,-4.822426795959473
1468,-5.788029670715332
1471,-5.550334930419922
1474,-5.744749546051025
1477,-6.9731621742248535
1480,-6.146546840667725
1483,-5.149622440338135
1486,-5.528292655944824
1489,-4.300283432006836
1492,-4.877021789550781
1495,-5.633246421813965
1498,-5.5644378662109375
1501,-6.211153030395508
1504,-5.645726680755615
1507,-5.419805526733398
1510,-4.750415325164795
1513,-4.709603309631348
1516,-5.205275058746338
1519,-5.557783603668213
1522,-4.970431804656982
1525,-5.772364616394043
1528,-5.246368408203125
1531,-4.523741722106934
1534,-6.983145236968994
1537,-5.933557510375977
1540,-4.967825889587402
1543,-4.599062442779541
1546,-5.443821430206299
1549,-5.338170528411865
1552,-5.052219867706299
1555,-4.418177604675293
1558,-4.055970191955566
1561,-4.8231329917907715
1564,-5.58644437789917
1567,-4.705446243286133
1570,-5.1987385749816895
1573,-6.127289295196533
1576,-4.317135810852051
1579,-7.153613567352295
1582,-4.72943639755249
1585,-3.9836604595184326
1588,-5.411145210266113
1591,-4.696499347686768
1594,-5.3485941886901855
1597,-4.473902225494385
1600,-6.60806941986084
1603,-6.059643268585205
1606,-5.804598331451416
1609,-5.044908046722412
1612,-5.61629056930542
1615,-4.722034931182861
1618,-4.207987308502197
1621,-5.068945407867432
1624,-5.986379146575928
1627,-4.512956142425537
1630,-5.251138210296631
1633,-4.892960548400879
1636,-5.074192523956299
1639,-4.768980026245117
1642,-4.692762851715088
1645,-4.602171897888184
1648,-5.937763214111328
1651,-5.110721111297607
1654,-4.439690589904785
1657,-5.188708782196045
1660,-4.243598461151123
1663,-5.285184860229492
