2D ILC-RL Control Scheme,2D Iterative Learning Control Scheme,PI-based Indirect ILC
0.05648115446851375,23.728230338435683,27.743638358059837
0.5143615891837902,10.975063805344801,11.258086355504355
0.22023200049234506,4.604443887946986,4.0353866657547846
0.15394475391747434,1.5935250538508974,1.0495461795453818
0.14616838081481717,0.4170591056624178,0.2118162187498193
0.12331816209859135,0.19651403866667733,0.225287906463499
0.1468443966931179,0.17102499507834,0.090367492471798
0.10744072328772139,0.5840824578501226,0.5381809623037273
0.07218805905196005,1.0897867891885609,1.0194634925642811
0.0679869723738173,1.553266241149933,1.4356006795117051
0.07565801453979369,1.8967554932230655,1.7265094615664995
0.0881723364183046,2.070772341285208,1.855219995726349
0.09686761359967105,2.0502999895435057,1.8053609499020091
0.10230356154474267,1.8332864419563843,1.5801181166936251
0.09803033461220238,1.4388998640131538,1.2007675125849628
0.1132749598759359,0.90468767767305,0.7040952336094635
0.09316546159060107,0.282493458553479,0.13870996242435615
0.11613377064463211,0.36757282887851805,0.44069006680531153
0.1265453190429313,0.9811603735721655,0.9766333529333041
0.12961770201851872,1.4986980407763855,1.4169729216280051
0.11388714474929997,1.8694585348922652,1.7185538316371123
0.10108819285637578,2.0571372999531254,1.8518425308406805
0.08749223578982457,2.043378255905027,1.8038087718600428
0.0649820664710856,1.829568360673576,1.5791938528357894
0.07677913533763621,1.4366895836278852,1.2000314577152023
0.08726412889797569,0.9032510344988186,0.7034777081900787
0.0993635498730515,0.2815787268611485,0.1382947481665761
0.0877810785006516,0.3680175999386481,0.44082051438448494
0.06436235825044796,0.981174344412806,0.976454060973326
0.05964914376133299,1.498378518098267,1.4165663025133843
0.0745149345259188,1.8689798011118492,1.7180811758195023
0.08954245171728951,2.0567086312294,1.8514869616606557
0.09607571237740209,2.043176682538828,1.8037071578968182
0.10225689341292302,1.829677399662484,1.5793852791447343
0.09812173917255244,1.4370705379861635,1.2004426253433604
0.11336607184703665,0.9037593318619963,0.7039509826801964
0.09315483554603561,0.2820179828641959,0.13864461153676008
0.11615795664107408,0.3678063847312443,0.4407179125909906
0.12655691629036633,0.9812796675184348,0.9766457492779815
0.12961871036616232,1.4987585433070632,1.4169784173374753
0.11388955249541462,1.8694891853729474,1.7185562660394829
0.10108874078639615,2.0571528225167928,1.8518436089916315
0.08749283877733431,2.043386117691827,1.8038092494496922
0.06498205909939077,1.8295723445403442,1.579194064546757
0.07677909359931377,1.4366916052890708,1.2000315517408995
0.08726435862334031,0.9032520650521599,0.7034777502139561
0.0993635998738983,0.28157927037391006,0.13829476849349992
0.0877811199689824,0.36801735343055814,0.44082050663397954
0.06436246312404754,0.98117421557042,0.9764540574648113
0.05964888751069834,1.4983784523932306,1.4165663009493001
