Batch,Average Reward
21,-161.54861450195312
31,-155.8020782470703
41,-248.4773406982422
51,-164.17568969726562
61,-135.22254943847656
71,-125.74136352539062
81,-99.9641342163086
91,-109.39462280273438
101,-99.1772232055664
111,-119.35639953613281
121,-89.70993041992188
131,-81.84699249267578
141,-103.31565856933594
151,-97.11884307861328
161,-91.34111022949219
171,-87.83643341064453
181,-84.93306732177734
191,-86.56047058105469
201,-83.01912689208984
211,-88.07931518554688
221,-89.36921691894531
231,-102.11888122558594
241,-113.9391860961914
251,-106.1392593383789
261,-122.49052429199219
271,-94.65369415283203
281,-89.93556213378906
291,-80.83002471923828
301,-77.0997085571289
311,-87.87264251708984
321,-84.56314086914062
331,-87.92616271972656
341,-84.58853149414062
351,-86.1085433959961
361,-80.18003845214844
371,-73.62837219238281
381,-43.73308563232422
391,-26.46807289123535
401,-36.967891693115234
411,-18.836355209350586
421,-17.613800048828125
431,-15.612624168395996
441,-16.14400863647461
451,-23.290054321289062
461,-30.308622360229492
471,-37.130455017089844
481,-16.157184600830078
491,-29.818702697753906
501,-43.4983024597168
511,-14.175464630126953
521,-16.27044677734375
531,-29.321237564086914
541,-13.720131874084473
551,-42.93583297729492
561,-19.620243072509766
571,-23.978120803833008
581,-26.472326278686523
591,-17.531696319580078
601,-20.97062110900879
611,-15.322457313537598
621,-14.831855773925781
631,-25.12933349609375
641,-12.789203643798828
651,-12.500703811645508
661,-11.856208801269531
671,-19.643518447875977
681,-14.107928276062012
691,-13.562355041503906
701,-34.35686492919922
711,-19.23733901977539
721,-14.676769256591797
731,-11.99202823638916
741,-14.369489669799805
751,-26.044179916381836
761,-17.714458465576172
771,-18.359262466430664
781,-17.221982955932617
791,-15.239236831665039
801,-27.28376007080078
811,-15.828838348388672
821,-20.117517471313477
831,-12.37494945526123
841,-13.254186630249023
851,-21.12331771850586
861,-12.238020896911621
871,-14.215435981750488
881,-12.29712963104248
891,-17.468793869018555
901,-11.670527458190918
911,-23.55671501159668
921,-12.855487823486328
931,-13.379929542541504
941,-12.643187522888184
951,-11.644989013671875
961,-16.088769912719727
971,-11.352705955505371
981,-24.98577117919922
991,-17.410062789916992
1001,-10.993295669555664
1011,-15.266876220703125
1021,-10.580604553222656
1031,-11.13433837890625
1041,-10.65424633026123
1051,-17.810626983642578
1061,-11.88611125946045
1071,-11.697040557861328
1081,-12.971070289611816
1091,-11.2473726272583
1101,-9.618234634399414
1111,-10.109679222106934
1121,-10.477621078491211
1131,-15.89570140838623
1141,-11.538599967956543
1151,-13.538494110107422
1161,-10.98254108428955
1171,-11.840998649597168
1181,-10.789213180541992
1191,-10.12171459197998
1201,-9.486468315124512
1211,-11.423425674438477
1221,-16.279325485229492
1231,-16.236051559448242
1241,-10.387933731079102
1251,-10.468334197998047
1261,-15.811296463012695
1271,-10.299839973449707
1281,-10.32044506072998
1291,-15.314925193786621
1301,-22.30158042907715
1311,-9.901324272155762
1321,-9.271910667419434
1331,-9.127060890197754
1341,-11.99085521697998
1351,-9.497514724731445
1361,-9.66096305847168
1371,-14.526031494140625
1381,-9.88913631439209
1391,-11.88834285736084
1401,-10.496040344238281
1411,-11.12037181854248
1421,-8.961518287658691
1431,-11.019371032714844
1441,-11.812058448791504
1451,-9.9679536819458
1461,-9.56619930267334
1471,-11.850706100463867
1481,-9.894487380981445
1491,-10.443672180175781
1501,-9.568131446838379
1511,-9.487648963928223
1521,-16.585546493530273
1531,-14.620234489440918
1541,-8.961377143859863
1551,-15.104613304138184
1561,-10.762746810913086
1571,-12.614194869995117
1581,-16.86966323852539
1591,-14.151083946228027
1601,-10.563507080078125
1611,-12.953527450561523
1621,-10.805688858032227
1631,-12.435654640197754
1641,-15.033733367919922
1651,-13.30663776397705
1661,-8.631622314453125
1671,-14.484991073608398
1681,-12.896048545837402
1691,-8.22981071472168
1701,-16.585569381713867
1711,-10.485198020935059
1721,-12.340069770812988
1731,-8.532057762145996
1741,-14.961132049560547
1751,-9.96638298034668
1761,-10.208938598632812
1771,-10.986635208129883
1781,-14.394674301147461
1791,-9.137232780456543
1801,-8.385478973388672
1811,-9.498422622680664
1821,-10.360857963562012
1831,-9.898290634155273
1841,-10.849215507507324
1851,-10.782967567443848
1861,-9.431127548217773
1871,-9.105749130249023
1881,-10.75115966796875
1891,-14.41452693939209
1901,-9.244190216064453
1911,-9.187507629394531
1921,-8.245699882507324
1931,-9.183116912841797
1941,-9.045289039611816
1951,-8.913260459899902
1961,-9.326353073120117
1971,-8.71992301940918
1981,-13.218578338623047
1991,-11.544398307800293
2001,-14.68183422088623
2011,-9.720523834228516
2021,-8.519469261169434
2031,-8.63032341003418
2041,-10.701367378234863
2051,-8.666101455688477
2061,-8.247754096984863
2071,-8.39151382446289
2081,-10.635106086730957
2091,-9.29893684387207
2101,-11.250102996826172
2111,-9.854170799255371
2121,-8.696795463562012
2131,-9.46502685546875
2141,-9.128581047058105
2151,-7.570187091827393
2161,-9.441737174987793
2171,-9.062511444091797
2181,-8.399134635925293
2191,-8.015963554382324
2201,-9.338582992553711
2211,-9.843700408935547
