[178.16420546]
[176.45960775]
[175.44261387]
[174.68301238]
[174.11988039]
[173.70238662]
[173.39286604]
[173.16339437]
[172.99326919]
[172.86714217]
[172.7736344]
[172.70430982]
[172.65291413]
[172.6148105]
[172.58656132]
[172.56561801]
[172.5500911]
[172.5385798]
[172.53004558]
[172.52371849]
[172.51902774]
[172.51555011]
[172.51297188]
[172.51106044]
[172.50964333]
[172.50859272]
[172.50781383]
[172.50723637]
[172.50680826]
[172.50649086]
[172.50625555]
[172.5060811]
[172.50595176]
[172.50585588]
[172.50578479]
[172.50573209]
[172.50569301]
[172.50566405]
[172.50564257]
[172.50562665]
[172.50561484]
[172.50560609]
[172.50559961]
[172.5055948]
[172.50559123]
[172.50558859]
[172.50558663]
[172.50558517]
[172.50558409]
[172.5055833]
[172.5055827]
[172.50558226]
[172.50558194]
[172.5055817]
[172.50558152]
[172.50558139]
[172.50558129]
[172.50558122]
[172.50558116]
[172.50558112]
[172.50558109]
[172.50558107]
[172.50558105]
[172.50558104]
[172.50558103]
[172.50558103]
[172.50558102]
[172.50558102]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[172.50558101]
[261.58768374]
[260.73538488]
[260.22688794]
[259.8470872]
[259.5655212]
[259.35677432]
[259.20201403]
[259.08727819]
[259.0022156]
[258.93915209]
[258.89239821]
[258.85773592]
[258.83203807]
[258.81298626]
[258.79886167]
[258.78839001]
[258.78062656]
[258.77487091]
[258.7706038]
[258.76744025]
[258.76509487]
[258.76335606]
[258.76206695]
[258.76111122]
[258.76040267]
[258.75987737]
[258.75948792]
[258.75919919]
[258.75898513]
[258.75882644]
[258.75870878]
[258.75862156]
[258.75855689]
[258.75850895]
[258.7584734]
[258.75844705]
[258.75842751]
[258.75841303]
[258.75840229]
[258.75839433]
[258.75838843]
[258.75838405]
[258.75838081]
[258.7583784]
[258.75837662]
[258.7583753]
[258.75837432]
[258.75837359]
[258.75837305]
[258.75837265]
[258.75837236]
[258.75837214]
[258.75837198]
[258.75837186]
[258.75837177]
[258.7583717]
[258.75837165]
[258.75837161]
[258.75837159]
[258.75837157]
[258.75837155]
[258.75837154]
[258.75837153]
[258.75837153]
[258.75837152]
[258.75837152]
[258.75837152]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
[258.75837151]
