Wall time,Step,Value
1661592042.520358,89600,-22.759265899658203
1661592044.9541135,90200,-19.648698806762695
1661592047.6460621,90800,-25.340505599975586
1661592050.2646449,91400,-29.607303619384766
1661592053.1013167,92000,-11.965165138244629
1661592055.8579953,92600,-36.18498992919922
1661592058.3885832,93200,-32.139129638671875
1661592060.920651,93800,-14.692706108093262
1661592063.2537107,94400,-27.27495002746582
1661592065.6668656,95000,-12.972916603088379
1661592068.6030285,95600,-31.218238830566406
1661592071.1894543,96200,-8.597575187683105
1661592074.0468419,96800,-65.901611328125
1661592076.5476146,97400,-28.929269790649414
1661592079.1535306,98000,-11.233198165893555
1661592082.201772,98600,-9.345118522644043
1661592085.041006,99200,-7.340567588806152
1661592088.0819004,99800,-9.98605728149414
1661592090.9690626,100400,-10.654733657836914
1661592094.0089726,101000,-32.36211395263672
1661592096.8921578,101600,-19.696332931518555
1661592100.016887,102200,-6.494852066040039
1661592103.1440833,102800,-15.58606243133545
1661592106.08992,103400,-21.3376522064209
1661592109.0929637,104000,-9.514931678771973
1661592112.2269719,104600,-14.264565467834473
1661592115.0051425,105200,-12.390606880187988
1661592118.0297832,105800,-18.224538803100586
1661592120.9029403,106400,-7.2046732902526855
1661592123.6991885,107000,-6.140563011169434
1661592126.783464,107600,-11.041121482849121
1661592129.606028,108200,-13.823114395141602
1661592132.3125172,108800,-10.109193801879883
1661592135.3235853,109400,-10.298971176147461
1661592138.1135945,110000,-6.005934715270996
1661592141.0832856,110600,-9.364675521850586
1661592143.9350975,111200,-22.314861297607422
1661592147.191954,111800,-15.152083396911621
1661592150.5781546,112400,-8.347203254699707
1661592153.8848653,113000,-6.697797775268555
1661592157.203372,113600,-17.96430778503418
1661592160.2924151,114200,-10.291976928710938
1661592163.1255677,114800,-5.623715877532959
1661592166.3878815,115400,-13.892915725708008
1661592169.3133538,116000,-8.082967758178711
1661592172.2195437,116600,-7.991624355316162
1661592175.0199163,117200,-9.330286979675293
1661592178.505812,117800,-21.389612197875977
1661592181.5716975,118400,-10.670254707336426
1661592184.802795,119000,-8.152310371398926
1661592187.9872406,119600,-10.540513038635254
1661592190.8519204,120200,-13.908622741699219
1661592194.0264542,120800,-23.041379928588867
1661592197.321353,121400,-7.547356128692627
1661592200.5646322,122000,-10.26849365234375
1661592203.5760758,122600,-6.973927021026611
1661592206.533281,123200,-41.18440246582031
1661592209.8637743,123800,-12.529121398925781
1661592213.3059309,124400,-8.378679275512695
1661592216.4554741,125000,-10.286078453063965
1661592220.0340772,125600,-15.686325073242188
1661592223.6390183,126200,-8.865692138671875
1661592226.6723938,126800,-9.041990280151367
1661592230.178873,127400,-10.962891578674316
1661592233.5482962,128000,-16.19413948059082
1661592237.0137525,128600,-12.749911308288574
1661592240.4227262,129200,-8.439985275268555
1661592243.918612,129800,-16.445999145507812
1661592247.2501583,130400,-7.015426158905029
1661592250.4983776,131000,-11.026803016662598
1661592254.3987446,131600,-10.760554313659668
1661592257.7880125,132200,-8.315826416015625
1661592261.2280333,132800,-12.322019577026367
1661592264.90954,133400,-18.5990047454834
1661592268.606467,134000,-9.360340118408203
1661592272.4946985,134600,-7.611591339111328
1661592276.477208,135200,-13.342572212219238
1661592279.9660323,135800,-10.177334785461426
1661592283.8478787,136400,-6.6651506423950195
1661592287.7294176,137000,-9.214489936828613
1661592291.4478717,137600,-13.402083396911621
1661592295.2781203,138200,-7.686919689178467
1661592299.211984,138800,-10.170074462890625
1661592302.7450938,139400,-29.150590896606445
1661592306.1486185,140000,-10.218810081481934
1661592310.1813974,140600,-17.348329544067383
1661592314.4034948,141200,-12.445055961608887
1661592318.2946668,141800,-12.450878143310547
1661592322.0739398,142400,-10.255139350891113
1661592326.0234416,143000,-8.724915504455566
1661592330.0732772,143600,-9.534900665283203
1661592333.456749,144200,-11.083508491516113
1661592336.8634696,144800,-13.717142105102539
1661592340.2912748,145400,-19.43229866027832
1661592343.785154,146000,-5.790092468261719
1661592347.4413753,146600,-7.307999610900879
1661592350.984053,147200,-7.744121551513672
1661592354.6287973,147800,-9.229214668273926
1661592358.1811187,148400,-5.742784023284912
1661592361.6845334,149000,-10.340919494628906
1661592365.4785514,149600,-9.173027992248535
1661592369.0680623,150200,-9.505956649780273
1661592372.652424,150800,-6.936226844787598
1661592376.2878082,151400,-13.2227783203125
1661592379.9047172,152000,-20.856563568115234
1661592383.5467753,152600,-11.188189506530762
1661592387.1286287,153200,-10.53906536102295
1661592391.37241,153800,-9.72065258026123
1661592395.060746,154400,-12.406516075134277
1661592399.4922726,155000,-8.648969650268555
1661592403.8499355,155600,-8.759342193603516
1661592408.283156,156200,-5.428982734680176
1661592412.1937823,156800,-14.081192016601562
1661592415.903266,157400,-8.840469360351562
1661592420.0875225,158000,-8.322135925292969
1661592423.8407393,158600,-7.396085262298584
1661592427.7034795,159200,-13.737091064453125
1661592431.6126251,159800,-7.168448448181152
1661592436.0769632,160400,-6.6557087898254395
1661592440.3436112,161000,-13.008560180664062
1661592444.874433,161600,-16.634218215942383
1661592449.1629941,162200,-6.398353099822998
1661592453.0581117,162800,-7.562602519989014
1661592457.4301975,163400,-18.030399322509766
1661592461.5401917,164000,-7.75103235244751
1661592465.4732468,164600,-9.301308631896973
1661592469.5105145,165200,-9.726261138916016
1661592473.4000428,165800,-8.654348373413086
1661592477.242265,166400,-7.2710161209106445
1661592481.4342692,167000,-11.278068542480469
1661592485.5377722,167600,-9.066971778869629
1661592489.6759233,168200,-5.45873498916626
1661592493.9087856,168800,-8.090791702270508
1661592498.34644,169400,-15.95172119140625
1661592503.1171224,170000,-6.747748851776123
1661592507.8976548,170600,-9.228875160217285
1661592512.6045465,171200,-10.120706558227539
1661592517.3244412,171800,-8.102703094482422
1661592521.9172852,172400,-7.11393404006958
1661592526.9460156,173000,-7.833322525024414
1661592531.5657382,173600,-19.111698150634766
1661592536.2408469,174200,-9.354582786560059
1661592540.7831645,174800,-6.068946361541748
1661592545.013264,175400,-14.301981925964355
1661592549.395299,176000,-8.018489837646484
1661592553.642716,176600,-9.406319618225098
1661592558.387827,177200,-13.649508476257324
1661592562.6408472,177800,-11.37408447265625
1661592567.4013925,178400,-8.072443962097168
1661592571.6697774,179000,-7.128945827484131
1661592576.1683044,179600,-17.23826026916504
1661592580.5470502,180200,-10.72679615020752
1661592585.2986841,180800,-7.991345405578613
1661592589.9402227,181400,-15.740218162536621
1661592594.349474,182000,-5.666131019592285
1661592598.568656,182600,-14.868107795715332
1661592602.906386,183200,-7.244616508483887
1661592607.193507,183800,-8.51457405090332
1661592611.8393757,184400,-7.211228370666504
1661592616.217151,185000,-12.859357833862305
1661592621.1428602,185600,-15.824482917785645
1661592626.3571417,186200,-4.92500638961792
1661592630.9709036,186800,-8.484086990356445
1661592635.946458,187400,-13.250680923461914
1661592640.7091856,188000,-8.119486808776855
1661592645.1144435,188600,-6.44236421585083
1661592649.6581914,189200,-10.85106086730957
1661592654.2991934,189800,-15.775537490844727
1661592658.672954,190400,-6.257258415222168
1661592663.2960105,191000,-12.714983940124512
1661592668.4762876,191600,-15.246464729309082
1661592673.8203042,192200,-5.366924285888672
1661592678.909819,192800,-6.182908535003662
1661592683.5974238,193400,-12.518082618713379
1661592688.7120647,194000,-9.762428283691406
1661592693.2964141,194600,-8.1621732711792
1661592698.3815105,195200,-7.764155387878418
1661592703.706068,195800,-12.456170082092285
1661592709.1096742,196400,-9.84464168548584
1661592713.9646533,197000,-7.339282512664795
1661592719.2473752,197600,-11.791398048400879
1661592724.2266939,198200,-6.0647993087768555
1661592729.2195034,198800,-5.841940879821777
1661592735.006533,199400,-18.43039894104004
1661592740.1065848,200000,-8.758004188537598
1661592745.2847602,200600,-10.061423301696777
1661592750.0982938,201200,-11.880834579467773
1661592754.9841952,201800,-17.407766342163086
1661592760.2299094,202400,-4.859492301940918
1661592764.9194193,203000,-7.163086414337158
1661592769.90201,203600,-14.641237258911133
1661592774.6129203,204200,-5.594542980194092
1661592779.456198,204800,-15.547537803649902
1661592784.4296088,205400,-16.64776611328125
1661592789.1236846,206000,-5.969705104827881
1661592794.0812833,206600,-8.23092269897461
1661592799.0518992,207200,-8.735301971435547
1661592804.0574658,207800,-15.754176139831543
1661592809.568787,208400,-7.9601593017578125
1661592815.308742,209000,-7.545405864715576
1661592820.661949,209600,-11.256260871887207
1661592825.999976,210200,-5.389254570007324
1661592831.7466974,210800,-10.911517143249512
1661592837.0043354,211400,-11.82846450805664
1661592842.4969292,212000,-7.6501593589782715
1661592847.7602706,212600,-7.705422401428223
1661592852.9382162,213200,-6.449609279632568
1661592858.177564,213800,-7.918716907501221
1661592863.0494971,214400,-5.332663536071777
1661592868.0852346,215000,-5.709018707275391
1661592873.828322,215600,-9.173858642578125
1661592879.0579476,216200,-4.716777801513672
1661592884.095032,216800,-5.595595359802246
1661592889.7198377,217400,-8.931584358215332
1661592894.857087,218000,-13.678800582885742
1661592900.1199439,218600,-16.90448760986328
1661592905.3150978,219200,-6.225668430328369
1661592910.926165,219800,-7.5068278312683105
1661592916.1874404,220400,-6.714570045471191
1661592921.6842499,221000,-5.709799289703369
1661592926.7679248,221600,-7.5596818923950195
1661592932.0300112,222200,-5.200610160827637
1661592938.05101,222800,-6.953440189361572
1661592944.4052346,223400,-20.270471572875977
1661592950.5840013,224000,-7.068288326263428
1661592957.0628915,224600,-8.719963073730469
1661592962.9531918,225200,-16.164445877075195
1661592969.2297926,225800,-7.792075157165527
1661592974.5489976,226400,-4.85468864440918
1661592980.40668,227000,-5.752406597137451
1661592986.4881072,227600,-8.343900680541992
1661592992.184479,228200,-4.845039367675781
1661592997.18285,228800,-4.8176045417785645
1661593003.2865112,229400,-7.503122806549072
1661593008.733675,230000,-4.871196746826172
1661593014.2582893,230600,-5.224719047546387
1661593020.2978978,231200,-5.5980939865112305
1661593026.0002337,231800,-5.867288589477539
1661593032.0060022,232400,-4.81575345993042
1661593037.310407,233000,-5.633674144744873
1661593043.6287897,233600,-5.580610752105713
1661593049.5696337,234200,-4.24437141418457
1661593055.9386876,234800,-5.302198886871338
1661593062.248889,235400,-6.11591100692749
1661593067.9823933,236000,-4.426973819732666
1661593073.994434,236600,-6.8694257736206055
1661593080.3910258,237200,-4.86208963394165
1661593086.5670238,237800,-5.173264026641846
1661593092.996189,238400,-5.832289695739746
1661593098.8858986,239000,-6.664424896240234
1661593104.6223388,239600,-7.0698466300964355
1661593109.351535,240200,-5.483473300933838
1661593115.0186324,240800,-13.864710807800293
1661593120.4929779,241400,-6.943735599517822
1661593126.7806816,242000,-5.060762405395508
1661593132.8000305,242600,-5.122913837432861
1661593139.2449634,243200,-4.881920337677002
1661593145.847887,243800,-7.1494927406311035
1661593151.6422682,244400,-5.7717061042785645
1661593158.450941,245000,-6.579097270965576
1661593164.8679135,245600,-8.264681816101074
1661593171.0874813,246200,-5.448879241943359
1661593177.4685144,246800,-6.18756103515625
1661593183.791985,247400,-6.173099994659424
1661593189.9801216,248000,-4.609251022338867
1661593196.609506,248600,-8.286059379577637
1661593202.0205545,249200,-5.169539451599121
1661593208.1375399,249800,-5.714128017425537
1661593214.241405,250400,-4.988224983215332
1661593220.862278,251000,-5.320600509643555
1661593226.9428082,251600,-9.556188583374023
1661593233.0299711,252200,-5.522804260253906
1661593238.8382504,252800,-5.496438980102539
1661593244.8970518,253400,-7.259350299835205
1661593251.232806,254000,-7.587520122528076
1661593257.2430675,254600,-5.9297566413879395
1661593263.0898895,255200,-4.5895771980285645
1661593270.11254,255800,-7.000977039337158
1661593276.7656577,256400,-5.404565334320068
1661593283.4564779,257000,-7.011273384094238
1661593290.0775495,257600,-7.883235931396484
1661593296.4077218,258200,-6.138685703277588
1661593302.8712523,258800,-6.891039848327637
1661593309.9320946,259400,-8.875802993774414
1661593316.6328964,260000,-5.3601460456848145
1661593322.5504296,260600,-8.607081413269043
1661593328.738749,261200,-4.707579135894775
1661593335.1591046,261800,-6.250926494598389
1661593341.0454679,262400,-5.852413177490234
1661593347.4268663,263000,-9.510828971862793
1661593354.3346815,263600,-12.994203567504883
1661593361.5563266,264200,-5.300241470336914
1661593368.4350543,264800,-5.036768436431885
1661593374.9112132,265400,-5.945485591888428
1661593381.2815351,266000,-5.939137935638428
1661593387.391305,266600,-5.702121257781982
1661593394.150083,267200,-5.124906063079834
1661593400.6200564,267800,-14.625810623168945
1661593406.9958272,268400,-6.283972263336182
1661593413.537676,269000,-7.168986797332764
1661593419.9166193,269600,-14.434182167053223
1661593427.2534885,270200,-5.547402381896973
1661593433.744773,270800,-5.83331298828125
1661593439.8554206,271400,-11.446210861206055
1661593446.4824004,272000,-5.144810199737549
1661593453.6510859,272600,-6.4081315994262695
1661593459.9692357,273200,-6.101378917694092
1661593466.4848146,273800,-5.563955307006836
1661593473.5738418,274400,-5.923700332641602
1661593480.906164,275000,-8.65278148651123
1661593488.0955515,275600,-5.59116268157959
1661593494.4894207,276200,-4.697094917297363
1661593501.7221708,276800,-5.808838844299316
1661593509.2915683,277400,-5.509383678436279
1661593516.5586677,278000,-4.794644355773926
1661593523.986453,278600,-6.324290752410889
1661593531.5656517,279200,-6.008418560028076
1661593538.9293594,279800,-5.347284317016602
1661593546.3006406,280400,-16.55547332763672
1661593553.0441742,281000,-9.858979225158691
1661593559.8751526,281600,-9.87875747680664
1661593566.6976602,282200,-11.297704696655273
1661593573.7326376,282800,-7.0150065422058105
1661593580.4688253,283400,-6.498867511749268
1661593587.4616191,284000,-5.793579578399658
1661593594.7710257,284600,-7.407116889953613
1661593602.189297,285200,-8.976852416992188
1661593609.9427092,285800,-5.449869155883789
1661593617.571625,286400,-5.513782978057861
1661593625.1524353,287000,-7.706735610961914
1661593632.506568,287600,-5.693016529083252
1661593640.0614748,288200,-4.845123291015625
1661593648.017876,288800,-11.553658485412598
1661593655.2939315,289400,-7.726104259490967
1661593662.3900037,290000,-6.818515300750732
1661593669.1311464,290600,-6.312934875488281
1661593676.9914565,291200,-5.999451160430908
1661593683.9980664,291800,-5.812704086303711
1661593690.8543122,292400,-7.123765468597412
1661593697.5047793,293000,-5.802093029022217
1661593704.7715259,293600,-8.310338020324707
1661593711.9672043,294200,-15.161733627319336
