"0[[  0.46148938 396.78363482]
 [  0.45309362 396.63961247]
 [  0.44482152 396.46324247]
 [  0.43668318 396.25476557]
 [  0.42868909 396.01489013]
 [  0.42084983 395.74477599]
 [  0.51222246 395.52512751]
 [  0.60191693 395.43102762]
 [  0.62663229 395.41591966]
 [  0.62274629 395.41082298]
 [  0.62804529 395.40833057]
 [  0.6267691  395.41006506]
 [  0.62640067 395.41551109]
 [  0.62323078 395.42445978]
 [  0.61938455 395.4368192 ]
 [  0.61377531 395.45208351]
 [  0.60729534 395.46991661]
 [  0.59967833 395.48983298]
 [  0.59136857 395.51141649]
 [  0.58238608 395.53408609]
 [  0.57308173 395.55730661]
 [  0.56360056 395.58047291]
 [  0.55424208 395.6030247 ]
 [  0.54519524 395.62438853]
 [  0.53671683 395.64404612]
 [  0.52899293 395.66150448]
 [  0.52223189 395.67634052]
 [  0.51658644 395.68818512]
 [  0.51220528 395.69675688]
 [  0.50918442 395.70185334]
 [  0.5075989  395.70337822]
 [  0.50746931 395.70138173]
 [  0.5087557  395.6959827 ]
 [  0.51140581 395.68724207]
 [  0.51540975 395.67538337]
 [  0.52063388 395.66064547]
 [  0.52700067 395.64340944]
 [  0.53431435 395.62404914]
 [  0.54244648 395.60306271]
 [  0.55115572 395.58091789]
 [  0.5602797  395.55818617]
 [  0.56954978 395.53538269]
 [  0.5787889  395.51310269]
 [  0.58772176 395.49185701]
 [  0.59617769 395.47221115]
 [  0.60389656 395.45461787]
 [  0.6107357  395.43955973]
 [  0.61647149 395.42738055]
 [  0.62100923 395.41843256]
 [  0.62418038 395.41290853]
 [  0.62595431 395.41099484]
 [  0.62623093 395.41270572]
 [  0.62505361 395.41804339]
 [  0.62239686 395.42683519]
 [  0.61838011 395.43890149]
 [  0.61305017 395.45389559]
 [  0.60659612 395.47147941]
 [  0.59912625 395.491165  ]
 [  0.59088505 395.51249745]
 [  0.58202439 395.53489584]
 [  0.57282393 395.55784245]
 [  0.56345653 395.58072053]
 [  0.5542137  395.60300868]
 [  0.54526497 395.62411277]
 [  0.53689018 395.64356462]
 [  0.5292325  395.66084578]
 [  0.52253912 395.67559003]
 [  0.51690741 395.6873973 ]
 [  0.5125354  395.6960399 ]
 [  0.50946034 395.70126557]
 [  0.50782011 395.70300776]
 [  0.50758346 395.70117714]
 [  0.50882299 395.69587639]
 [  0.51143655 395.68718011]
 [  0.51543216 395.67535432]
 [  0.52064015 395.66062514]
 [  0.52701004 395.64340307]
 [  0.53431337 395.62404095]
 [  0.54245212 395.60306305]
