"[[  0.56056771 396.87131486]
 [  0.55032131 396.88907762]
 [  0.54018146 396.87633647]
 [  0.53016281 396.83462313]
 [  0.52028033 396.76589503]
 [  0.51054922 396.670085  ]
 [  0.50098505 396.54573221]
 [  0.49160318 396.39409813]
 [  0.48241805 396.21679943]
 [  0.47344278 396.01575486]
 [  0.46468892 395.79312194]
 [  0.46346558 395.55837846]
 [  0.55405292 395.39183167]
 [  0.64304087 395.36316804]
 [  0.6372966  395.40098826]
 [  0.62590784 395.435638  ]
 [  0.6147966  395.46614389]
 [  0.60396011 395.49380327]
 [  0.59339679 395.51961274]
 [  0.58310248 395.54429112]
 [  0.57307064 395.5682454 ]
 [  0.56329267 395.59154522]
 [  0.55375817 395.6139065 ]
 [  0.54445531 395.63468503]
 [  0.53537117 395.65288016]
 [  0.52649215 395.66714903]
 [  0.51780431 395.6758311 ]
 [  0.50940597 395.67712187]
 [  0.51309588 395.68542071]
 [  0.50594793 395.68586393]
 [  0.50946692 395.68941924]
 [  0.50536217 395.6837225 ]
 [  0.5110679  395.68118034]
 [  0.50959126 395.66894335]
 [  0.5179712  395.66022879]
 [  0.51890766 395.64211326]
 [  0.5296703  395.62800698]
 [  0.53268611 395.60540174]
 [  0.54514293 395.58740067]
 [  0.54967583 395.56221765]
 [  0.56292923 395.54231707]
 [  0.5682244  395.51669046]
 [  0.58133955 395.49722896]
 [  0.58645204 395.47322759]
 [  0.59864609 395.45655033]
 [  0.60253798 395.4360538 ]
 [  0.61321005 395.42395004]
 [  0.61507818 395.40880091]
 [  0.62351151 395.40283132]
 [  0.62276716 395.39429645]
 [  0.62848738 395.39539835]
 [  0.62479843 395.39406381]
 [  0.6276157  395.40246223]
 [  0.62093924 395.40817136]
 [  0.62096953 395.42335196]
 [  0.611558   395.43521791]
 [  0.60921296 395.4559797 ]
 [  0.5985467  395.47398877]
 [  0.59208319 395.4963671 ]
 [  0.58188148 395.51776318]
 [  0.57376403 395.54137843]
 [  0.5640368  395.56440372]
 [  0.55454769 395.58646875]
 [  0.54558281 395.60732588]
 [  0.5373707  395.62678896]
 [  0.52961985 395.64394567]
 [  0.52305348 395.65877101]
 [  0.51730387 395.67048467]
 [  0.51305272 395.6792279 ]
 [  0.5098508  395.68436251]
 [  0.5083346  395.68620927]
 [  0.50796695 395.68428119]
 [  0.50933668 395.67908404]
 [  0.5118166  395.67028118]
 [  0.51594949 395.65855657]
 [  0.52102164 395.64371137]
 [  0.52753584 395.62658796]
 [  0.53470122 395.60710117]
 [  0.54299076 395.58622002]
 [  0.55155103 395.56393839]
 [  0.56083916 395.54130961]
 [  0.56995821 395.51836316]
 [  0.57936637 395.49618632]
 [  0.58814552 395.47479446]
 [  0.59677387 395.45525396]
 [  0.60433592 395.43751384]
 [  0.61134951 395.42256511]
 [  0.6169249  395.4102407 ]
 [  0.62163796 395.40140788]
 [  0.62464468 395.39574205]
 [  0.62659393 395.39395079]
 [  0.62670159 395.39552446]
 [  0.62569914 395.4009929 ]
 [  0.62286844 395.40965246]
 [  0.61902613 395.42185842]
 [  0.6135169  395.43672475]
 [  0.60723734 395.45445709]
 [  0.59958258 395.47401806]
 [  0.59151692 395.49550728]
 [  0.58246561 395.51778213]
 [  0.57344311 395.54089267]
 [  0.56387925 395.56364575]
 [  0.5548184  395.58610359]
 [  0.54566742 395.60707843]
 [  0.53748037 395.6267042 ]
 [  0.52961469 395.64384918]
 [  0.52311646 395.65877011]
 [  0.51727108 395.67043185]
 [  0.51310306 395.6792526 ]
 [  0.50980871 395.68432159]
 [  0.50838244 395.68624242]
 [  0.50792092 395.68424282]
 [  0.50938501 395.67912059]
 [  0.5117682  395.67024266]
 [  0.51599916 395.658595  ]
 [  0.52097136 395.64367195]
 [  0.52758706 395.62662775]
 [  0.53464928 395.60706072]
 [  0.54304348 395.58626093]
 [  0.55149761 395.56389696]
 [  0.56089325 395.54135147]
 [  0.56990349 395.51832088]
 [  0.57942168 395.49622899]
 [  0.58808967 395.47475144]
 [  0.59683022 395.4552973 ]
 [  0.60427911 395.4374702 ]
 [  0.61140674 395.42260903]
 [  0.61686727 395.4101965 ]
 [  0.62169598 395.40145236]
 [  0.6245863  395.39569731]
 [  0.62665268 395.39399581]
 [  0.62664247 395.39547915]
 [  0.62575863 395.40103854]
 [  0.62280854 395.40960647]
 [  0.61908647 395.42190479]
 [  0.61345608 395.43667795]
 [  0.60729869 395.45450436]
 [  0.59952066 395.47397027]
 [  0.59157949 395.49555564]
 [  0.58240234 395.51773314]
 [  0.57350715 395.54094235]
 [  0.56381435 395.56359534]
 [  0.55488421 395.5861548 ]
 [  0.54561551 395.60704994]
 [  0.53752564 395.62674603]
 [  0.52956461 395.64381358]
 [  0.52316521 395.65881014]
 [  0.51722027 395.67039313]
 [  0.51315415 395.67929316]
 [  0.50975634 395.68428088]
 [  0.50843559 395.68628421]
 [  0.50786668 395.68420045]
 [  0.50944019 395.6791638 ]
 [  0.511712   395.67019875]
 [  0.51605632 395.65863965]
 [  0.52091323 395.64362662]
 [  0.52764612 395.62667376]
 [  0.53458932 395.60701408]
 [  0.54310431 395.58630817]
 [  0.55143596 395.56384917]
 [  0.56095568 395.54139979]
 [  0.56984033 395.51827208]
 [  0.5794855  395.49627823]
 [  0.58802522 395.4747018 ]
 [  0.59689524 395.45534732]
 [  0.60421355 395.43741984]
 [  0.61147279 395.42265973]
 [  0.61680075 395.41014549]
 [  0.62176293 395.40150368]
 [  0.62451892 395.39564568]
 [  0.62672047 395.39404777]
 [  0.62657425 395.39542685]
 [  0.6258273  395.40109121]
 [  0.6227394  395.4095534 ]
 [  0.61915611 395.42195831]
 [  0.61338588 395.43662395]
 [  0.60736949 395.45455891]
 [  0.59944919 395.47391512]
 [  0.5916517  395.49561145]
 [  0.58232931 395.51767661]
 [  0.57358107 395.54099968]
 [  0.56385711 395.56372303]
 [  0.55478189 395.58612667]
 [  0.54567235 395.6071103 ]
 [  0.53745787 395.62670188]
 [  0.52962806 395.64386788]
 [  0.52309771 395.65875993]
 [  0.51728737 395.67044702]
 [  0.51308496 395.67923975]
 [  0.50982633 395.68433609]
 [  0.50836405 395.68622841]
 [  0.5079394  395.6842575 ]
 [  0.50936606 395.67910587]
 [  0.51178742 395.67025774]
 [  0.51597957 395.65857973]
 [  0.52099126 395.64368749]
 [  0.52756682 395.626612  ]
 [  0.53466982 395.6070767 ]
 [  0.54302264 395.58624475]
 [  0.55151873 395.56391334]]"
"[[  0.56041388 396.84368552]
 [  0.55001285 396.82920491]
 [  0.53973324 396.7846799 ]
 [  0.52958889 396.71183185]
 [  0.51959404 396.61160276]
 [  0.5097637  396.48056363]
 [  0.5001133  396.31966731]
 [  0.49065762 396.13027333]
 [  0.48141047 395.91410437]
 [  0.47238429 395.67319027]
 [  0.46358991 395.40980185]
 [  0.53008037 395.18883819]
 [  0.60467959 395.07042957]
 [  0.64868976 395.04429307]
 [  0.65333166 395.05832822]
 [  0.64230936 395.07304426]
 [  0.63601614 395.08858257]
 [  0.62549405 395.1030835 ]
 [  0.61713345 395.11808887]
 [  0.60688731 395.13267582]
 [  0.59779003 395.1475185 ]
 [  0.58801179 395.16196643]
 [  0.57908334 395.17614157]
 [  0.57016506 395.18938096]
 [  0.56209052 395.2014104 ]
 [  0.55446018 395.2114475 ]
 [  0.54776137 395.21891992]
 [  0.5417997  395.22292598]
 [  0.53787709 395.22406342]
 [  0.54183843 395.23166049]
 [  0.53291526 395.22699294]
 [  0.5436818  395.2320054 ]
 [  0.53468511 395.2213168 ]
 [  0.55029801 395.22233877]
 [  0.54140938 395.20453253]
 [  0.563873   395.20351026]
 [  0.55432249 395.18166339]
 [  0.57998721 395.17874885]
 [  0.57014331 395.15336638]
 [  0.59917409 395.14994059]
 [  0.58868916 395.12388983]
 [  0.61792569 395.12020434]
 [  0.60696345 395.09430081]
 [  0.63622583 395.09202452]
 [  0.62477018 395.06950874]
 [  0.65018769 395.06908098]
 [  0.63837116 395.04987151]
